date,store,item,sales
2018/5/1,1,1,0.096932296
2018/5/2,1,1,0.099722776
2018/5/3,1,1,0.108120745
2018/5/4,1,1,0.107439291
2018/5/5,1,1,0.10984179
2018/5/6,1,1,0.106573794
2018/5/7,1,1,0.102846522
2018/5/8,1,1,0.098946813
2018/5/9,1,1,0.100981228
2018/5/10,1,1,0.09611654
2018/5/11,1,1,0.085879805
2018/5/12,1,1,0.086728722
2018/5/13,1,1,0.090608534
2018/5/14,1,1,0.090286874
2018/5/15,1,1,0.087018878
2018/5/16,1,1,0.084820318
2018/5/17,1,1,0.080154596
2018/5/18,1,1,0.083183833
2018/5/19,1,1,0.083173885
2018/5/20,1,1,0.087881059
2018/5/21,1,1,0.085796903
2018/5/22,1,1,0.079209513
2018/5/23,1,1,0.071023773
2018/5/24,1,1,0.072360153
2018/5/25,1,1,0.070450091
2018/5/26,1,1,0.068520134
2018/5/27,1,1,0.068609668
2018/5/28,1,1,0.064507678
2018/5/29,1,1,0.070284287
2018/5/30,1,1,0.069163453
2018/5/31,1,1,0.070862943
2018/6/1,1,1,0.07133051
2018/6/2,1,1,0.07325052
2018/6/3,1,1,0.074621718
2018/6/4,1,1,0.07089113
2018/6/5,1,1,0.073000156
2018/6/6,1,1,0.073489277
2018/6/7,1,1,0.074099436
2018/6/8,1,1,0.0728443
2018/6/9,1,1,0.071081804
2018/6/10,1,1,0.058800707
2018/6/11,1,1,0.060637815
2018/6/12,1,1,0.05520442
2018/6/13,1,1,0.051127301
2018/6/14,1,1,0.056678417
2018/6/15,1,1,0.052752179
2018/6/16,1,1,0.054335607
2018/6/17,1,1,0.053581199
2018/6/18,1,1,0.057883811
2018/6/19,1,1,0.058424332
2018/6/20,1,1,0.058639877
2018/6/21,1,1,0.05801977
2018/6/22,1,1,0.046872772
2018/6/23,1,1,0.048723144
2018/6/24,1,1,0.048512573
2018/6/25,1,1,0.050203773
2018/6/26,1,1,0.047310494
2018/6/27,1,1,0.048517547
2018/6/28,1,1,0.044017628
2018/6/29,1,1,0.049485842
2018/6/30,1,1,0.052563163
2018/7/1,1,1,0.052030932
2018/7/2,1,1,0.056220798
2018/7/3,1,1,0.054463276
2018/7/4,1,1,0.055870951
2018/7/5,1,1,0.055010429
2018/7/6,1,1,0.056190953
2018/7/7,1,1,0.058641535
2018/7/8,1,1,0.057800909
2018/7/9,1,1,0.057010025
2018/7/10,1,1,0.051042741
2018/7/11,1,1,0.052400675
2018/7/12,1,1,0.050104291
2018/7/13,1,1,0.049766051
2018/7/14,1,1,0.050173928
2018/7/15,1,1,0.051966269
2018/7/16,1,1,0.058051273
2018/7/17,1,1,0.067868524
2018/7/18,1,1,0.068889876
2018/7/19,1,1,0.070446775
2018/7/20,1,1,0.068157023
2018/7/21,1,1,0.069306044
2018/7/22,1,1,0.069365734
2018/7/23,1,1,0.074517262
2018/7/24,1,1,0.085858251
2018/7/25,1,1,0.081990045
2018/7/26,1,1,0.078065466
2018/7/27,1,1,0.082217197
2018/7/28,1,1,0.082991501
2018/7/29,1,1,0.082684764
2018/7/30,1,1,0.082046418
2018/7/31,1,1,0.074623376
2018/8/1,1,1,0.072583988
2018/8/2,1,1,0.071410096
2018/8/3,1,1,0.069476822
2018/8/4,1,1,0.062766737
2018/8/5,1,1,0.062978966
2018/8/6,1,1,0.061594503
2018/8/7,1,1,0.057968371
2018/8/8,1,1,0.050651444
2018/8/9,1,1,0.05488276
2018/8/10,1,1,0.048474438
2018/8/11,1,1,0.049789263
2018/8/12,1,1,0.051138907
2018/8/13,1,1,0.050182219
2018/8/14,1,1,0.049102835
2018/8/15,1,1,0.050208747
2018/8/16,1,1,0.051034451
2018/8/17,1,1,0.055594059
2018/8/18,1,1,0.052234871
2018/8/19,1,1,0.053932703
2018/8/20,1,1,0.050394448
2018/8/21,1,1,0.05394431
2018/8/22,1,1,0.051911554
2018/8/23,1,1,0.054590945
2018/8/24,1,1,0.057230544
2018/8/25,1,1,0.058132517
2018/8/26,1,1,0.05776609
2018/8/27,1,1,0.060831805
2018/8/28,1,1,0.063766535
2018/8/29,1,1,0.063012127
2018/8/30,1,1,0.062425181
2018/8/31,1,1,0.063090055
2018/9/1,1,1,0.06567328
2018/9/2,1,1,0.067402615
2018/9/3,1,1,0.066910177
2018/9/4,1,1,0.068788736
2018/9/5,1,1,0.057668266
2018/9/6,1,1,0.054471566
2018/9/7,1,1,0.05243052
2018/9/8,1,1,0.049005011
2018/9/9,1,1,0.049903668
2018/9/10,1,1,0.05127155
2018/9/11,1,1,0.050822222
2018/9/12,1,1,0.051553417
2018/9/13,1,1,0.053955916
2018/9/14,1,1,0.05396918
2018/9/15,1,1,0.054554468
2018/9/16,1,1,0.054242757
2018/9/17,1,1,0.050125845
2018/9/18,1,1,0.051619739
2018/9/19,1,1,0.05242223
2018/9/20,1,1,0.054060373
2018/9/21,1,1,0.058661432
2018/9/22,1,1,0.058046299
2018/9/23,1,1,0.057623499
2018/9/24,1,1,0.055633852
2018/9/25,1,1,0.053329177
2018/9/26,1,1,0.053710526
2018/9/27,1,1,0.057376451
2018/9/28,1,1,0.056494374
2018/9/29,1,1,0.055962144
2018/9/30,1,1,0.05648111
2018/10/1,1,1,0.056033439
2018/10/2,1,1,0.055066802
2018/10/3,1,1,0.054368768
2018/10/4,1,1,0.05563551
2018/10/5,1,1,0.056545773
2018/10/6,1,1,0.055836133
2018/10/7,1,1,0.056079864
2018/10/8,1,1,0.057051475
2018/10/9,1,1,0.056739764
2018/10/10,1,1,0.056195927
2018/10/11,1,1,0.049913616
